Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
BARK,"Bark Inc",0.9023,0.0109,+1.22%,0.9,0.9175,0.881,405200,2025-08-29
BASE,"Couchbase Inc",24.39,-0.01,-0.04%,24.39,24.4,24.38,487800,2025-08-29
BATRA,"Atlanta Braves Holdings Inc",47.51,0.08,+0.16%,47.63,48.04,47.17,23500,2025-08-29
BATRK,"Atlanta Braves Holdings Inc C",44.98,0.04,+0.09%,45.15,45.19,44.64,287300,2025-08-29
BBAI,"Bigbear.Ai Holdings Inc",5.07,-0.09,-1.74%,5.15,5.18,4.95,38137200,2025-08-29
BBCP,"Concrete Pumping Holdings Inc",6.96,-0.11,-1.56%,7.09,7.21,6.89,92300,2025-08-29
BBIO,"Bridgebio Pharma Inc",51.76,-0.81,-1.54%,52.49,52.85,50.9,2995300,2025-08-29
BBNX,"Beta Bionics Inc",18.84,0.13,+0.69%,18.83,19.32,18.12,385000,2025-08-29
BBSI,"Barrett Business S",48.8,0.26,+0.54%,48.79,49,48.2,299700,2025-08-29
BBUC,"Brookfield Business Corp",33,-2.0175,-5.76%,35.19,35.19,32.98,69700,2025-08-29
BBW,"Build-A-Bear Workshop",60.81,-6.2,-9.25%,68,69,60.23,794300,2025-08-29
BCAL,"California Bancorp",16.84,0.05,+0.30%,16.85,16.97,16.73,71600,2025-08-29
BCAX,"Bicara Therapeutics Inc",11.94,0.03,+0.25%,11.93,12.01,11.6,189200,2025-08-29
BCBP,"Bcb Bancorp Inc",8.9,0.01,+0.11%,8.9,8.98,8.87,37400,2025-08-29
BCC,"Boise Cascade L.L.C.",87,-0.27,-0.31%,87.7,88.18,86.27,218000,2025-08-29
BCML,"Bay Commercial Bk CA",30.26,-0.06,-0.20%,30.32,30.34,29.78,16500,2025-08-29
BCO,"Brink's Company",112.04,-0.03,-0.03%,112.21,112.84,110.64,354200,2025-08-29
BCPC,"Balchem Corp",162.09,0.1,+0.06%,162.43,163.26,160.89,195200,2025-08-29
BCRX,"Biocryst Pharma Inc",8.31,-0.16,-1.89%,8.46,8.49,8.29,2313700,2025-08-29
BDC,"Belden Inc",130.2,-2.5,-1.88%,132.66,132.705,129.295,223100,2025-08-29
BDN,"Brandywine Realty Trust",4.26,0.04,+0.95%,4.2,4.2753,4.2,1843300,2025-08-29
BE,"Bloom Energy Corp Cl A",52.94,-1.86,-3.39%,53.88,54.524,52.59,10197400,2025-08-29
BEAM,"Beam Therapeutics Inc",16.36,-0.49,-2.91%,16.87,17.01,16.26,1898500,2025-08-29
BEEP,"Mobile Infrastructure Corp",3.89,0.05,+1.30%,3.76,3.9,3.76,24300,2025-08-29
BELFA,"BEL Fuse Cl A",114.43,-0.8,-0.69%,114.39,115.13,113,6100,2025-08-29
BELFB,"BEL Fuse Inc Cl B",134.56,-1.73,-1.27%,136.97,137,133.74,90500,2025-08-29
BETR,"Better Home & Finance Holding CO",22.63,1.48,+7.00%,21.31,22.83,20.94,116600,2025-08-29
BFC,"Bank First National Corp [Wisconsin]",129.92,-0.25,-0.19%,130.79,130.79,129.08,41600,2025-08-29
BFH,"Bread Financial Hldgs Inc",66.19,-0.5,-0.75%,66.93,67.3299,65.31,588000,2025-08-29
BFIN,"Bankfinancial Corp",12.38,0,0.00%,12.41,12.48,12.33,23000,2025-08-29
BFLY,"Butterfly Network Inc",1.61,-0.02,-1.23%,1.645,1.68,1.5814,2384000,2025-08-29
BFS,"Saul Centers",34.17,0.33,+0.98%,33.92,34.21,33.8819,44000,2025-08-29
BFST,"Business First Bancshares Inc",25.01,-0.07,-0.28%,25.19,25.34,24.97,77200,2025-08-29
BGC,"Bgc Partners Cl A",9.81,-0.16,-1.60%,9.97,10.02,9.75,1934300,2025-08-29
BGS,"B&G Foods Holdings",4.51,0.06,+1.35%,4.47,4.54,4.445,1543200,2025-08-29
BH,"Biglari Holdings Inc",310.87,-8.93,-2.79%,320,322.068,310.73,16200,2025-08-29
BHB,"Bar Harbor Bankshares",32.27,0.11000000000001,+0.34%,32.45,32.57,31.98,68100,2025-08-29
BHE,"Benchmark Electronics",40.59,-0.87,-2.10%,41.39,41.41,40.32,158700,2025-08-29
BHLB,"Berkshire Hills Bancorp",26.13,-0.17,-0.65%,26.39,26.6214,25.9,2575800,2025-08-29
BHR,"Braemar Hotels & Resorts Inc",2.76,0.06,+2.22%,2.69,2.86,2.63,742800,2025-08-29
BHRB,"Burke Herbert Financial Services Corp",63.56,-0.01,-0.02%,63.68,63.99,63.17,35400,2025-08-29
BHVN,"Biohaven Ltd",15.39,-0.13,-0.84%,15.53,15.72,15.28,999600,2025-08-29
BIOA,"Bioage Labs Inc",4.93,0.13,+2.71%,4.86,5.1,4.78,1093600,2025-08-29
BIPC,"Brookfield Infrastructure Partners LP Cl A",40.22,-0.07,-0.17%,40.2,40.92,40.11,1072100,2025-08-29
BJRI,"Bj's Restaurants Inc",33.56,-0.13,-0.39%,33.84,33.88,33.17,468500,2025-08-29
BKD,"Brookdale Senior Living Inc",7.7,0.06,+0.79%,7.66,7.73,7.61,2114400,2025-08-29
BKE,"Buckle Inc",56.59,-0.91,-1.58%,57.83,57.83,56.41,516800,2025-08-29
